Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2015-04-01,4462.0,4813.467757491103,4813.467757491102,4813.467757491104,3506.7232209316653,6120.212294050541,4750.8667,4743.9434,4757.79,3416.7034,6085.0303,Train,2020,12
2015-05-01,4642.0,4470.468282966975,4470.468282966974,4470.4682829669755,3163.723746407537,5777.212819526412,4714.889,4710.404,4719.3745,3380.7258,6049.0527,Train,2020,12
2015-06-01,4369.0,4637.738738814686,4637.738738814685,4637.738738814687,3330.9942022552486,5944.483275374124,4781.1787,4777.347,4785.0103,3447.0154,6115.342,Train,2020,12
2015-07-01,4672.0,4375.26905648758,4375.269056487579,4375.269056487581,3068.5245199281426,5682.013593047018,4659.358,4655.494,4663.2217,3325.1946,5993.5215,Train,2020,12
2015-08-01,4661.0,4665.007261546665,4665.007261546664,4665.007261546666,3358.2627249872276,5971.751798106103,4720.426,4715.7573,4725.094,3386.2625,6054.589,Train,2020,12
2015-09-01,4655.0,4661.406672415176,4661.406672415175,4661.406672415177,3354.6621358557386,5968.151208974614,4746.426,4739.9985,4752.853,3412.2625,6080.589,Train,2020,12
2015-10-01,4716.0,4655.126480127627,4655.126480127627,4655.126480127627,3348.381943568189,5961.871016687064,4811.3286,4807.042,4815.615,3477.1653,6145.492,Train,2020,12
2015-11-01,4377.0,4714.617871971588,4714.617871971587,4714.617871971589,3407.8733354121505,6021.362408531026,4827.8193,4822.8867,4832.752,3493.656,6161.9824,Train,2020,12
2015-12-01,4484.0,4384.696348981123,4384.696348981122,4384.696348981124,3077.9518124216856,5691.440885540561,4729.3633,4724.7163,4734.0103,3395.2,6063.5264,Train,2020,12
2016-01-01,4911.0,6899.824116236392,6899.824116236392,6899.824116236392,5593.079579676954,8206.56865279583,4676.025,4672.073,4679.9766,3341.8616,6010.1885,Train,2020,12
2016-02-01,5218.0,4762.209428552928,4762.209428552927,4762.209428552929,3455.4648919934907,6068.953965112366,4775.9365,4765.682,4786.191,3441.7732,6110.0996,Train,2020,12
2016-03-01,5759.0,5586.840700357107,5586.8407003571065,5586.840700357108,4280.09616379767,6893.585236916545,5039.029,5025.2163,5052.8413,3704.8655,6373.1924,Train,2020,12
2016-04-01,5456.0,5469.543000991934,5469.543000991933,5469.543000991935,4162.798464432496,6776.287537551371,5426.54,5409.348,5443.732,4092.3767,6760.703,Train,2020,12
2016-05-01,5359.0,5595.632798144456,5595.632798144456,5595.632798144456,4288.888261585018,6902.377334703893,5564.629,5556.2983,5572.9595,4230.466,6898.792,Train,2020,12
2016-06-01,5305.0,5156.869959575762,5156.869959575761,5156.869959575763,3850.125423016324,6463.614496135199,5563.2725,5558.967,5567.578,4229.1094,6897.4355,Train,2020,12
2016-07-01,5769.0,5535.2236753988345,5535.223675398834,5535.223675398835,4228.479138839397,6841.968211958272,5440.718,5435.6304,5445.805,4106.5547,6774.881,Train,2020,12
2016-08-01,5565.0,5751.5338033430135,5751.533803343013,5751.533803343014,4444.789266783576,7058.278339902451,5565.0854,5552.9766,5577.1943,4230.922,6899.249,Train,2020,12
2016-09-01,5367.0,5569.408740394357,5569.408740394357,5569.408740394357,4262.664203834919,6876.153276953794,5627.6187,5618.8,5636.4375,4293.455,6961.782,Train,2020,12
2016-10-01,5633.0,5422.150054380678,5422.150054380677,5422.150054380679,4115.40551782124,6728.894590940115,5603.3145,5598.975,5607.654,4269.1514,6937.4775,Train,2020,12
2016-11-01,5664.0,5357.016189351527,5357.016189351526,5357.016189351528,4050.2716527920893,6663.7607259109645,5585.8853,5577.9946,5593.776,4251.7217,6920.049,Train,2020,12
2016-12-01,6082.0,5720.584077650826,5720.584077650826,5720.584077650826,4413.839541091388,7027.328614210263,5634.3906,5624.628,5644.1533,4300.2275,6968.5537,Train,2020,12
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5758.235279900608,8371.724353019483,5858.9263,5846.4844,5871.368,4524.7627,7193.09,Train,2020,12
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,5310.604023803444,7924.093096922319,6156.348,6139.8877,6172.8086,4822.1846,7490.5117,Train,2020,12
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,5020.497760589724,7633.986833708599,6143.9756,6138.876,6149.075,4809.8125,7478.1387,Train,2020,12
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4772.881624415847,7386.370697534722,6228.7725,6222.0796,6235.4653,4894.6094,7562.9355,Train,2020,12
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4787.893666145751,7401.382739264626,6138.503,6130.085,6146.921,4804.34,7472.666,Train,2020,12
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4784.19465406659,7397.683727185466,6230.1904,6224.593,6235.788,4896.0273,7564.3535,Train,2020,12
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,5115.61655483983,7729.105627958706,6140.1626,6134.3086,6146.0166,4805.999,7474.326,Train,2020,12
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4692.2877656087685,7305.776838727644,6136.379,6130.646,6142.112,4802.216,7470.542,Train,2020,12
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,4605.631564279714,7219.12063739859,6085.3745,6079.202,6091.547,4751.211,7419.538,Train,2020,12
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4832.433186695776,7445.922259814652,6051.675,6046.2354,6057.1143,4717.5117,7385.838,Train,2020,12
2017-11-01,5681.0,5630.112178760209,5630.112178760208,5630.11217876021,4323.367642200771,6936.856715319646,5918.4707,5913.8726,5923.069,4584.3076,7252.634,Train,2020,12
2017-12-01,6052.0,5948.060635920198,5948.0606359201975,5948.060635920199,4641.316099360761,7254.805172479636,5809.653,5804.942,5814.364,4475.4893,7143.8164,Train,2020,12
2018-01-01,5904.0,6813.856842262458,6813.856842262457,6813.8568422624585,5507.11230570302,8120.601378821895,5871.5566,5860.4253,5882.688,4537.3936,7205.7197,Train,2020,12
2018-02-01,5426.0,5575.215556047499,5575.2155560474985,5575.2155560475,4268.471019488062,6881.960092606937,5931.767,5923.3057,5940.2285,4597.6035,7265.9307,Train,2020,12
2018-03-01,6005.0,5979.405474600747,5979.405474600747,5979.405474600747,4672.660938041309,7286.1500111601845,5801.4336,5795.4116,5807.4556,4467.2705,7135.5967,Train,2020,12
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,4391.995032358588,7005.484105477463,5820.0405,5810.9023,5829.1787,4485.877,7154.204,Train,2020,12
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,4536.866319415225,7150.3553925341,5804.769,5795.149,5814.389,4470.6055,7138.9326,Train,2020,12
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,4477.602812299469,7091.091885418345,5933.186,5926.6772,5939.695,4599.0225,7267.3496,Train,2020,12
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4865.506757337463,7478.995830456338,5946.019,5937.241,5954.797,4611.8555,7280.1826,Train,2020,12
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4704.529084994175,7318.01815811305,6046.0225,6037.7524,6054.2925,4711.8594,7380.1855,Train,2020,12
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,4599.2277849421,7212.716858060975,6053.4634,6047.0786,6059.848,4719.3,7387.627,Train,2020,12
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,4300.972630624637,6914.461703743512,5930.2,5925.36,5935.0405,4596.037,7264.3633,Train,2020,12
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,4330.7735508587675,6944.262623977643,5813.14,5808.3286,5817.9517,4478.9766,7147.3037,Train,2020,12
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,4456.130855501683,7069.619928620558,5643.036,5638.5415,5647.531,4308.873,6977.199,Train,2020,12
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,4580.385870558478,7193.874943677353,5693.444,5685.0347,5701.853,4359.2803,7027.6074,Train,2020,12
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,4055.0759691155263,6668.5650422344015,5728.346,5718.328,5738.3643,4394.1826,7062.51,Train,2020,12
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,4659.380843440162,7272.869916559037,5679.7153,5675.274,5684.1567,4345.552,7013.879,Train,2020,12
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,4546.755649184665,7160.244722303541,5816.5396,5804.0366,5829.0425,4482.376,7150.703,Train,2020,12
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,4547.652644420795,7161.14171753967,5823.306,5814.1123,5832.5,4489.1426,7157.4697,Train,2020,12
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4669.436168557486,7282.925241676361,5975.279,5968.947,5981.611,4641.115,7309.4424,Train,2020,12
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4847.071669596481,7460.560742715356,5962.5303,5953.4526,5971.608,4628.367,7296.6934,Train,2020,12
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4898.7961723720755,7512.285245490951,6149.143,6138.8394,6159.447,4814.9795,7483.3066,Train,2020,12
2019-09-01,6048.0,6145.923999741461,6145.92399974146,6145.923999741462,4839.179463182023,7452.668536300898,6275.669,6265.5596,6285.7783,4941.506,7609.832,Train,2020,12
2019-10-01,6322.0,6055.889201542898,6055.889201542897,6055.889201542899,4749.144664983461,7362.633738102336,6253.461,6248.308,6258.614,4919.298,7587.624,Train,2020,12
2019-11-01,6405.0,6140.470592509685,6140.470592509684,6140.470592509686,4833.726055950247,7447.215129069123,6256.1304,6249.733,6262.528,4921.967,7590.294,Train,2020,12
2019-12-01,6523.0,6776.260344783286,6776.260344783285,6776.260344783287,5469.515808223849,8083.004881342724,6292.8623,6283.1787,6302.546,4958.699,7627.0254,Train,2020,12
2020-01-01,6732.0,6547.088561760247,6547.088561760247,6547.088561760247,5240.3440252008095,7853.833098319685,6431.5264,6423.643,6439.4097,5097.3633,7765.6895,Test,2020,12
2020-02-01,6587.0,6104.018978825162,6104.018978825161,6104.018978825163,4797.274442265724,7410.7635153845995,6457.345,6448.423,6466.2676,5123.1816,7791.509,Test,2020,12
2020-03-01,7438.0,6763.997570833244,6763.997570833243,6763.997570833245,5457.253034273806,8070.742107392682,6465.8716,6454.3,6477.4434,5131.708,7800.035,Test,2020,12
2020-04-01,8138.0,6428.03375876442,6428.033758764419,6428.033758764421,5121.289222204982,7734.7782953238575,6454.796,6439.277,6470.315,5120.633,7788.959,Test,2020,12
2020-05-01,9609.0,6659.208208597882,6659.208208597881,6659.208208597883,5352.463672038444,7965.952745157319,6459.997,6442.0913,6477.903,5125.834,7794.16,Test,2020,12
2020-06-01,8378.0,6623.868984683088,6623.868984683087,6623.8689846830885,5317.12444812365,7930.613521242525,6460.3643,6439.57,6481.1587,5126.201,7794.5273,Test,2020,12
2020-07-01,8692.0,6861.477601975666,6861.477601975666,6861.477601975666,5554.733065416229,8168.222138535104,6459.448,6435.7314,6483.165,5125.285,7793.6113,Test,2020,12
2020-08-01,8436.0,6851.552374798108,6851.552374798106,6851.55237479811,5544.80783823867,8158.2969113575455,6460.546,6434.2207,6486.871,5126.383,7794.709,Test,2020,12
2020-09-01,7657.0,6565.116080438083,6565.1160804380825,6565.116080438084,5258.371543878646,7871.860616997521,6460.7363,6431.7334,6489.7393,5126.573,7794.8994,Test,2020,12
2020-10-01,7537.0,6686.362660226832,6686.3626602268305,6686.362660226834,5379.618123667395,7993.10719678627,6460.9424,6429.338,6492.547,5126.7793,7795.1055,Test,2020,12
2020-11-01,7498.0,6655.874066652685,6655.874066652683,6655.874066652686,5349.129530093247,7962.618603212122,6461.362,6427.251,6495.4727,5127.198,7795.5254,Test,2020,12
2020-12-01,7861.0,6883.1630187121755,6883.1630187121755,6883.1630187121755,5576.418482152738,8189.907555271613,6461.634,6425.0513,6498.2163,5127.4707,7795.797,Test,2020,12
